model,norm_ll,pred_time,roc_auc,source,target,train_norm_ll,train_roc_auc,train_time
Random Forest,0.774571644855,0.139268875122,0.999946190271,from scratch,7,0.814786136991,0.999628395536,49.4397079945
Random Forest,0.777345216677,0.0329840183258,0.999784761085,sklearn,7,0.81260845108,0.999585041682,0.206297874451
Logistic Regression,0.745759179456,0.000115871429443,0.984216108304,from scratch,8,0.688704015256,0.983400562278,6.6144990921
Logistic Regression,0.679722372838,0.000200033187866,0.983966560609,sklearn,8,0.787570178328,0.99076518763,0.0354869365692
Decision Tree,0.706137493197,0.00270414352417,0.983966560609,from scratch,8,0.713571884275,0.985179073463,7.43703198433
Decision Tree,0.84580578319,0.000259876251221,0.997317362281,sklearn,8,0.759442150076,0.989249480504,0.0100920200348
Random Forest,0.533899221663,0.14555311203,0.987335454489,from scratch,8,0.526082885994,0.985808580858,54.7158398628
Random Forest,0.505513450589,0.0355739593506,0.986274876786,sklearn,8,0.505676603499,0.984671800513,0.209753990173
Logistic Regression,0.767617096574,5.81741333008e-05,0.989168739635,from scratch,9,0.81727828814,0.996215238808,6.65427303314
Logistic Regression,0.802671865671,0.000200986862183,0.991915422886,sklearn,9,0.938161523549,0.99907719167,0.03551197052
Decision Tree,0.150926515858,0.00292801856995,0.956467661692,from scratch,9,0.773398664082,0.989874049133,7.72834396362
Decision Tree,0.234436739856,0.000256061553955,0.958333333333,sklearn,9,0.830141856211,0.994450679636,0.00884509086609
Random Forest,0.606164536886,0.151017189026,0.977352819237,from scratch,9,0.660877369002,0.994238683128,54.0166158676
Random Forest,0.591714956297,0.0360658168793,0.971548507463,sklearn,9,0.658585507067,0.994301035042,0.223080158234
Logistic Regression,0.938984722772,6.103515625e-05,1.0,from scratch,0,0.946293878815,0.999975226369,6.70021104813
Logistic Regression,0.987132489217,0.00019907951355,1.0,sklearn,0,0.991146285146,1.0,0.0418648719788
Decision Tree,0.889090979332,0.00382590293884,0.999670781893,from scratch,0,0.864549573508,0.999554074643,5.17683911324
Decision Tree,0.966524354632,0.000240087509155,1.0,sklearn,0,0.949998288417,0.999461173527,0.00552010536194
Random Forest,0.887062122403,0.135515928268,1.0,from scratch,0,0.913989730315,0.999938065923,48.9444470406
Random Forest,0.865690056898,0.0343580245972,0.999945130316,sklearn,0,0.899658608667,0.999826584583,0.222707986832
Logistic Regression,0.766166442048,6.103515625e-05,0.991820921223,from scratch,1,0.816188236426,0.995628309127,6.72604799271
